route_id,trip_id,direction_id,year,month,twenty_pct_occupancy,thirty_pct_occupancy,forty_pct_occupancy,median_occupancy,sixty_pct_occupancy,seventy_pct_occupancy,seventy_five_pct_occupancy,seventy_five_pct_occupancy_1,eighty_pct_occupancy,ninety_fifth_pct_occupancy,max_occupancy
10A,138572,0,2019,12,0,0,0,0,0,0,0.25,0.25,1,2,2
1,138441,0,2020,2,0.40000000000000108,1,1,1,1,1,3.5,3.5,4,5,6
4,139784,0,2019,12,10.200000000000001,13,15,16,16,19,19,19,20.800000000000004,23,23
4,136981,0,2019,7,5,7,10,12,13,16,17,17,18,23,29
4,139819,1,2019,12,9,11,14,15,16.2,19,20,20,21,25,25
1,151701,1,2020,5,1,1,2,2,2,3,3.25,3.25,4,5,7
21,134049,1,2019,2,1,2,3,3,3,3,3.5,3.5,7,8,8
16,139206,1,2020,2,8,8.4999999999999982,9,9,16,17,18,18,18,19,19
4,139771,0,2019,10,16,17,19,21,23,25,25,25,26,30,30
9,140186,1,2020,1,2,3,4,4,4,6,6.25,6.25,8,11,11
4,137184,1,2019,8,8,11,14.000000000000004,17,18,19,19,19,19,19,20
10G,133292,0,2019,3,2,2,3,4,5,6,6.5,6.5,8,10,13
3,139466,0,2020,3,0,0,0,0,0,0,0.25,0.25,1,1.4999999999999987,3
1,138514,1,2019,9,1,1,1,1,2,2,2.5,2.5,3,4.899999999999995,7
10A,133233,0,2019,5,3,4,4,5,5,5,5.5,5.5,7,7,7
4,139850,0,2019,10,11,14,15,16,17,18,19,19,20,22,23
4,134497,1,2019,4,12,13,15,16,17.799999999999994,18,19,19,20,24,26
4,139771,0,2019,11,5,8,9,10,13,15,18,18,18,22,22
4,137209,1,2019,8,5,13,14,16,17,20,20,20,20,23,23
21,139338,1,2020,4,3,3,3,3,3,5,5.75,5.75,6,6,6
3,139483,1,2019,10,2,2,2,2,2,2.5,2.75,2.75,3,3,3
4,139790,0,2019,10,7,7,8,9,10,11,11.75,11.75,14,22,24
2,139265,0,2019,9,-0.39999999999999913,0,0,1,2,2,2.5,2.5,3,5,5
4,139763,0,2019,10,5,6,6.4000000000000039,8,9,15,18,18,18.800000000000008,21,22
4,139777,0,2020,2,3,3,3,4,16,18,20,20,20,22,23
3,139477,0,2019,10,2,2,2,3,4,5,5.5,5.5,6,6,6
1,133047,1,2019,5,4,4,5,6,7,8,9.75,9.75,12,17,18
4,134445,0,2019,1,11,12,13,14,19,21,22,22,22,24,25
3,139461,0,2020,1,1.2000000000000002,2.3,3,3,3,3,3.25,3.25,3.8000000000000007,4.4499999999999993,5
21,136747,1,2019,5,4,4,5,5,6,6,7.25,7.25,9,10,10
16,136558,0,2019,5,1,1,2,2,3,3,4.5,4.5,5,6,6
3,134132,0,2019,3,0,1,1,1,2,2,2.75,2.75,6.8000000000000087,8,8
3,140950,1,2020,1,1.4,1.6,1.8,2,2.2,2.4,2.5,2.5,2.6,2.9,3
4,137136,0,2019,7,13.000000000000004,16,17,18,20,21,21,21,21,24,25
1,138506,0,2020,2,2,3.8999999999999995,5,6,6,6,6.75,6.75,7,8,8
4,139842,0,2019,9,6,7,7,8,9,10,10.5,10.5,11,12,12
10A,133177,0,2019,2,1,1,1,2,2,3,3.75,3.75,4,6,7
1,135704,0,2019,8,2,3.699999999999998,4.6000000000000041,5,6,7,7.25,7.25,9,10,11
1,138458,0,2019,10,5,5,6,6,6,6,6.5,6.5,9,9,9
4,139667,0,2019,11,7,9,10,13,15,18,19,19,23,36,37
16,136540,1,2019,8,0,0,0,0.5,1.5999999999999996,3.6999999999999993,4.25,4.25,4.6000000000000005,5,5
4,137150,1,2019,7,4,5,5,6,8,8,9.25,9.25,11,13,15
1,138444,0,2020,1,2.0000000000000004,3,3,3.5,4,10.499999999999998,11.25,11.25,12,12,12
3,139476,0,2019,10,3,3,3,3,3.2,3.4,3.5,3.5,3.6,3.9,4
15,133770,1,2019,3,0,1,2,2,3,3,3.75,3.75,4,5,5
4,139812,1,2019,12,7,10,10,12,12,14,18,18,19,27,27
2,136623,1,2019,12,0,0,0,0,0,0,0.25,0.25,1,1,1
4,137203,1,2019,7,11,12,15,16,19,23,24,24,26,29,31
4,134484,1,2019,1,5,5,7,8,9.7999999999999936,10,10.75,10.75,11,12,13
4,139646,0,2019,9,7,8,9,9,10,11,11.75,11.75,12,14,15
4,139856,1,2020,4,10,15,16,23,23,23,23,23,24.600000000000005,27,27
2,133956,1,2019,5,2,3,3,3,3,3,3.5,3.5,4,5,5
1,138439,0,2019,9,2,3,4,4,5,5,6.5,6.5,8,8,8
4,137169,1,2019,5,7,10,11,12,14,17,18,18,21,23,25
4,134489,1,2019,3,3,9,11,13,14,15,17,17,19,25,27
21,136680,1,2019,8,5,5,5,5,5,5,5.5,5.5,7.6000000000000023,13,13
1,135785,0,2019,7,0,0,1,1,2,2,2.25,2.25,3,3,5
21,139385,1,2020,3,2,2,3,3,3.9999999999999996,4,4.75,4.75,5,5,5
1,135681,0,2019,7,2,3,4,5,5,6,6.25,6.25,7,14,15
10A,138568,0,2019,11,2.2000000000000015,4,5,5,6,6,6.5,6.5,7,8,8
9,140150,1,2020,4,1,2,2,2,3.3999999999999932,5,5.75,5.75,6,8,9
9,137563,1,2019,8,4,4.4999999999999991,6,9.5,10,13,14.25,14.25,15,16,16
10G,133330,0,2019,5,-0.19999999999999923,0,0,0,0,0,2.5,2.5,3,3,3
16,139143,0,2019,10,3,3,4,4,5,6,6.75,6.75,7,9,11
2,139286,1,2020,1,0,1,1,1,1,1,1.5,1.5,2,3,3
1,135752,1,2019,7,2,3,4,5,6,8,8.75,8.75,9,12,15
1,133093,0,2019,5,1,1,1,1,1,1,1.25,1.25,2.4000000000000017,4.0999999999999979,6
21,136650,0,2019,6,0,3,6,8,9,11,13.5,13.5,15,21,23
1,135779,0,2019,5,3,3,5,5,5,5,5.25,5.25,6,6,7
4,139850,0,2019,11,13,14,15,16,17,20,20,20,20.800000000000004,21,22
4,139822,1,2020,3,6,9,10,11,12,16,18,18,19,22.449999999999992,23
4,139734,1,2020,2,0,1,1,1,2,2,2.75,2.75,3,3,3
2,136627,1,2019,5,0,0,1,1,4,4,4.75,4.75,5,7,8
4,139849,0,2019,12,11,11,12,12,12,16,18.25,18.25,22,24,25
21,139355,1,2020,3,2,2,2,3,3,4,4.75,4.75,5,7,7
3,139486,1,2019,10,0.2,0.3,0.4,0.5,0.6,0.7,0.75,0.75,0.8,0.95,1
21,139398,1,2020,2,3,3.6999999999999993,5,5,5,7,7.5,7.5,9,9,9
3,139483,1,2019,11,5.5511151231257827e-17,0.49999999999999994,1,1,1,1.4999999999999998,1.75,1.75,2,2,2
4,137129,0,2019,8,12.400000000000002,15,17,24,24,26,30,30,32,36,37
4,134354,0,2019,5,6,8,8,9,10,17.599999999999966,18,18,20,25,26
4,139670,0,2020,1,4,5,6,6,7,8,8.5,8.5,9,13,16
10G,138680,0,2019,11,3,3,3,4,5,5,10.75,10.75,13,16,17
4,137165,1,2019,5,8,9,12,13,13,19.999999999999993,23.5,23.5,24,26,26
10A,138595,1,2020,4,2,5,5,5,5,5,5.5,5.5,6,6,6
4,134336,0,2019,5,10,11,14,16,17,18,18,18,19,22,22
1,138496,1,2020,2,2,2,2,2,2,2,2.25,2.25,3,3,3
28,139437,0,2019,11,0,0,0,1,1,2,2.75,2.75,3,4.9499999999999922,5
4,139825,1,2019,9,10,12,14,18,19,21,22,22,24,28,29
21,136639,0,2019,6,5,5,6,7,8,10,10.25,10.25,11,16.699999999999964,23
9,140199,0,2019,12,5,5,7.2000000000000028,9,15,16.099999999999994,17,17,18,20,21
4,139856,1,2020,3,7,11,12,14,16,16.099999999999987,17,17,18,22,23
21,139350,1,2019,11,2,3,8,8.5,9,9,10.25,10.25,11,11,13
4,137015,0,2019,6,8,10,14,15,17,18,20,20,22,27,34
3,140948,1,2019,11,0.20000000000000007,0.79999999999999993,1.4000000000000001,2,2.2,2.4,2.5,2.5,2.6,2.9,3
4,139816,1,2019,10,7,9,12,14,14,17,17,17,17,19,20
10A,133242,1,2019,5,2,2,2,2,2,2,3.5,3.5,4,4,4
1,135761,0,2019,8,7,7,7,7,7,7,7.25,7.25,8,9,9
4,137156,1,2019,7,6,7,9,10,11.199999999999996,14,17,17,18,20,20
21,134062,0,2019,4,5,5,5,6,6,6,8.75,8.75,10,10,10
3,139468,1,2019,9,1,1,1,1,1.2,1.4,1.5,1.5,1.6,1.9,2
4,134460,0,2019,1,6,7,9,12,14,16,18,18,20,33,35
21,133980,0,2019,5,1,1,4,7,7,7,7.75,7.75,8,9,9
4,137148,1,2019,7,3,3,4,4,5,6.7999999999999918,13.5,13.5,14,17,19
10A,138603,0,2019,9,4,5,6,6,7,7,9.5,9.5,11,17,17
4,139855,1,2020,1,9,12,14,15,16,17,19,19,20,24,26
10A,138566,1,2019,11,0,0,0,0,1,1,1.25,1.25,2,2,3
15,133756,0,2019,1,0,0,1,1,2,2,2.75,2.75,3,4,5
21,134014,1,2019,3,0,0,1,1,2,2,2.25,2.25,3,5,5
4,137097,1,2019,8,3,5,6,7,8,10,13.25,13.25,16,20,22
3,139480,0,2020,1,4,4,4,4,4.2,4.4,4.5,4.5,4.6,4.9,5
4,134489,1,2019,4,6,7,10,14,17,21,23,23,24,30,31
28,139455,1,2019,10,0,0,0,0,1,2,2.25,2.25,3,5,5
1,138431,0,2020,1,1,1,1,1,1.3999999999999981,2,2.25,2.25,3,4,6
21,139369,0,2019,9,10,11,11,11,13.199999999999998,18,18,18,19,19,19
10A,138527,0,2019,9,0,0,1,1,2,2,3.5,3.5,5,6,6
9,140207,1,2019,12,4,5,5,6,7.7999999999999972,8,8.5,8.5,11,14,14
1,135777,0,2019,5,-1,-1,0,5,8,10,10.25,10.25,11,11,11
1,133095,0,2019,1,2,2,2,2,2,2,2.25,2.25,3.2000000000000011,4.0499999999999989,5
4,137066,1,2019,8,7,12.099999999999998,15,15,15,15,17.75,17.75,18,22,24
9,137508,1,2019,8,3,4,5,6,7,9,12.25,12.25,13,26,28
2,133915,0,2019,5,0,0,0,1,1,2,2.5,2.5,3,4.6999999999999975,5
4,134363,0,2019,5,1,1,2.6000000000000014,4,4,6,9.5,9.5,11,11,11
16,133835,0,2019,1,3,4,4,4,4,4,4.25,4.25,5,5,5
15,139100,0,2019,11,2,2,2,2,3,3,3.5,3.5,4,4,4
16,133868,1,2019,1,2.2,2.3,2.4,2.5,2.6,2.7,2.75,2.75,2.8,2.95,3
10G,133374,1,2019,3,2,2,2,3,4,4,4.25,4.25,5,6,6
3,139487,1,2019,9,1,1.5,2,2.5,3,3.5,3.75,3.75,4,5.5,6
4,139831,1,2019,11,5,5,7,7,7,8,8.25,8.25,9,10,11
9,140131,1,2019,9,6,7,8,9,14,19,20,20,22,24,26
4,137190,0,2019,8,8,9,11,13,15.599999999999996,18,21,21,25,28,29
1,135777,0,2019,8,4,4,4,4,7.799999999999998,9,9.25,9.25,11,11,11
4,137062,1,2019,5,9,12,14,15,17,18,19,19,21,27,31
10A,138603,0,2020,1,3,3,4,4,4,4,4.25,4.25,5,5,6
28,139445,1,2020,2,2,2,2,2,3,3,3.25,3.25,4,6,7
10A,133242,1,2019,3,1,1,2,2,2,2,2.75,2.75,3,6,6
3,139466,0,2020,2,0,0,0,0,0,0,0.25,0.25,1,1.2499999999999993,2
1,149217,0,2020,5,1.6000000000000019,3,5,5,5,5,5.25,5.25,6,9,9
4,139830,1,2020,2,5,7,7,8,9,10,10.75,10.75,12,13,15
1,135768,0,2019,6,7,8,8,8,8,8,8.25,8.25,9,9.0499999999999972,11
3,139466,0,2020,4,0,0,0,0,0,0.49999999999999978,0.75,0.75,1.0000000000000002,1.7499999999999998,2
4,139853,1,2020,4,7,11,13.800000000000002,17,17,18,18.25,18.25,19,20,20
4,137133,0,2019,6,10,12,13,14,14,17,18,18,19,22,25
4,137136,0,2019,6,11,13,17,22,22,22,22,22,23,26,28
4,137157,1,2019,7,5,6,7,10,11,15,15.5,15.5,16,18,19
21,136713,1,2019,6,2,3.6999999999999984,4,5,5,5,5.25,5.25,6,7,7
13,138723,0,2019,11,2,3,3,3,3,5,5.25,5.25,6,11,12
4,139667,0,2019,10,6,9,11,13,15,16,17,17,18,24,29
4,137172,1,2019,5,7,7,7,9,18,20,20,20,20,24,24
15,139108,0,2019,12,2,2,2,2,3,3,3.5,3.5,4,6,6
4,136989,0,2019,7,4,6,8,10,12,15,18,18,19,23,25
2,139297,1,2019,9,0,1,1,2,3,3,3.75,3.75,5,6,8
4,139641,0,2019,11,11,12,15,17,18,19,19,19,24,26,28
10A,138548,1,2019,10,1,2,3,3,5,7,7.25,7.25,8,13,15
9,140182,1,2019,10,4,4,4,4,5,6,6.25,6.25,7,8,8
8,140092,1,2019,11,3,4,5,5,5,5,5.75,5.75,6,6,6
4,134362,0,2019,5,5,8,9,12,14,17,17.25,17.25,18,20,25
1,138440,0,2020,4,4,4,5,6,6,6,6.25,6.25,7,7,7
21,139315,0,2019,12,0,1,2,3,3,4,4.25,4.25,5,7,7
3,139479,0,2020,3,0,0,0,0,0,0.69999999999999951,1.25,1.25,1.8000000000000005,2,2
1,133140,1,2019,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
9,140210,1,2020,2,5,5,6,8,12,13,13.75,13.75,14,16,16
4,139770,0,2019,10,13,14,17,18,19,21,21,21,23,28,31
28,139443,0,2019,12,2,3,3,4,4,4,4.5,4.5,5,7,8
4,139721,1,2019,11,5,5,7,10,13,16,18,18,19,22,24
9,134875,0,2019,3,6,7,9,12,14,17,18,18,21,26,26
9,140176,1,2020,3,1,4,5,6,9,10,13.5,13.5,17,22,22
1,138344,0,2020,4,0,0,0,0,0,3,3.25,3.25,4,4,4
4,139743,1,2020,2,7,9,10,12,14,18,19.5,19.5,21,27,32
16,133881,0,2019,4,5,5,8,8,8,8,8.75,8.75,10,10,10
4,139825,1,2020,2,12,14,15,16,17,19,19,19,21,24,27
21,136654,0,2019,12,2,2,2,3,3.3999999999999981,8.7999999999999972,10.5,10.5,11,11,11
4,137169,1,2019,6,8,9,10,14,15,17,17,17,18,22,24
9,140176,1,2020,2,5,7,8,11,13,14,14.25,14.25,15,16.249999999999996,17
3,139481,0,2019,12,0,0,0,0,0,0.099999999999999867,0.25,0.25,0.40000000000000013,0.84999999999999987,1
1,135748,1,2019,8,6,9.2999999999999954,11.400000000000009,13,14,16,16.25,16.25,17,24,27
3,139468,1,2020,2,2,2,2.6,3,3.4,4.3,4.75,4.75,5,5,5
4,134471,0,2019,3,5,6,8.4000000000000057,9,9,10,10.75,10.75,12,16,16
21,136697,0,2019,5,6,7,7,8,10,10,12.5,12.5,14,16,16
3,139468,1,2020,3,2,2,2.2,2.5,2.8,3.0999999999999996,3.25,3.25,3.4000000000000004,3.8499999999999996,4
4,137064,1,2019,7,3,5,6,8,9,11,11.5,11.5,13,21,24
4,137191,0,2019,6,7,10,12,16,18,19,20,20,21,23,26
4,136978,0,2019,8,8,9,11,12,13,16,18,18,19,22,26
4,139848,0,2020,2,4,5.9999999999999964,7,8,9,10,10.5,10.5,11,12,14
4,137198,0,2019,7,7,8,10,11,13,18,20,20,20,27,28
21,134027,0,2019,4,4,4,5,5,5.799999999999998,7,7.25,7.25,8,10,11
28,135647,1,2019,4,1,3.6999999999999993,5,5,6.3999999999999986,7,7.25,7.25,8,10,10
4,134337,0,2019,2,3,3,5,5,7,8,8.25,8.25,9,13,15
1,133160,0,2019,3,1,2,3,3,4,4,4.75,4.75,5,6,6
4,139850,0,2020,3,11,12,13,15,16,19,20,20,21,24.399999999999988,27
4,139667,0,2019,9,7,8,9,11,14,18,19,19,20,27,32
8,134720,1,2019,2,1,3,3,4,4,4,4.25,4.25,6,6,7
16,139244,1,2019,10,4.200000000000002,5,5,5,5,5.6999999999999913,6.25,6.25,7,7,8
