stop_id,stop_lon,stop_lat
1556,-85.272163,35.017993
1040,-85.23861,35.04232
1041,-85.238022,35.043397
1279,-85.284402,35.019713
1038,-85.239738,35.039125
533,-85.285372,35.094123
1039,-85.239007,35.041255
1278,-85.283543,35.019395
534,-85.282462,35.096167
1168,-85.271638,35.018993
539,-85.273593,35.104133
1401,-85.2865,35.020488
536,-85.277837,35.10018
1283,-85.290568,35.021872
1042,-85.237623,35.0459
1282,-85.289535,35.021522
538,-85.27523,35.101912
1169,-85.270542,35.0206
537,-85.276693,35.10095
1842,-85.238036,35.047401
1284,-85.291538,35.022213
1490,-85.237402,35.046753
1172,-85.272973,35.023385
1171,-85.271018,35.022653
1173,-85.274325,35.023905
542,-85.270938,35.109895
1288,-85.297673,35.024517
677,-85.239722,35.047978
1285,-85.293683,35.023015
1286,-85.294892,35.023468
1174,-85.275692,35.024427
1287,-85.296513,35.024085
1043,-85.24314,35.049635
544,-85.266743,35.112183
543,-85.269143,35.111532
541,-85.271653,35.108143
540,-85.272353,35.10635
679,-85.242662,35.048088
1289,-85.298468,35.02528
1290,-85.299088,35.026072
1291,-85.298787,35.027327
1175,-85.27701,35.024943
549,-85.257142,35.114353
547,-85.261402,35.113337
546,-85.26253,35.113042
1421,-85.263437,35.112898
1177,-85.279888,35.025972
1504,-85.278838,35.025717
1044,-85.242455,35.051102
439,-85.328,35.009775
550,-85.253693,35.11479
554,-85.248638,35.121387
553,-85.249703,35.118363
552,-85.250308,35.117095
551,-85.251818,35.115197
1179,-85.282653,35.026965
1180,-85.284083,35.027482
1294,-85.296402,35.031647
1181,-85.285418,35.027963
1292,-85.297292,35.03004
1178,-85.281333,35.026497
1505,-85.287723,35.028892
1422,-85.248353,35.122392
557,-85.246445,35.128448
1296,-85.295305,35.033757
556,-85.247478,35.12509
1183,-85.289917,35.029608
1297,-85.293287,35.037575
558,-85.241915,35.132243
1299,-85.294128,35.03926
1300,-85.295305,35.039717
1302,-85.299263,35.041152
1567,-85.298103,35.040758
1301,-85.296657,35.040222
559,-85.242043,35.130923
442,-85.328938,35.004133
440,-85.328683,35.00674
441,-85.328858,35.004903
560,-85.24201,35.128273
443,-85.329145,35.001978
1186,-85.294335,35.031225
1187,-85.2961,35.0319
1307,-85.305303,35.04338
1303,-85.300757,35.041675
1304,-85.302013,35.042152
1305,-85.303285,35.04263
1188,-85.29699,35.032247
488,-85.310468,35.048455
1184,-85.291458,35.030177
1185,-85.292635,35.030602
444,-85.329303,35.000465
445,-85.329495,34.998677
447,-85.33005,34.995708
1308,-85.306018,35.043675
446,-85.329653,34.996853
1309,-85.307337,35.044167
1190,-85.300248,35.033467
1191,-85.30241,35.034293
1192,-85.303665,35.034773
1189,-85.298802,35.032922
1310,-85.308705,35.044668
489,-85.310453,35.049897
569,-85.31057,35.05158
449,-85.330957,34.992562
1461,-85.30713,35.036152
1883,-85.160408,35.036784
1193,-85.305175,35.03535
450,-85.331227,34.989868
448,-85.330463,34.994743
1412,-85.331005,34.991632
451,-85.331212,34.988453
452,-85.332737,34.98845
453,-85.333245,34.986995
789,-85.310612,35.052508
454,-85.332133,34.986805
1423,-85.240772,35.128925
1876,-85.160408,35.03678
1683,-85.327793,35.010705
472,-85.32072,35.02015
564,-85.241295,35.132497
1415,-85.316238,35.02832
475,-85.316715,35.027438
